NumDynamicObstacles,Algorithm,MonteCarloIndex,ScenarioSeed,Success,Collision,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,EstEnergyWh,Steps
5,C-NMPC,84,34110,1,0,100,2630.74255034014,2792.1066,52.7242537013212,2.45058780412269,0.667223215016699,127.82027330037,11.9109296481106,0.242231507588246,147
5,C-NMPC,85,34111,1,0,100,2617.85990984848,2940.0179,61.1450883939512,3.83187949926669,2.06055434968063,113.436572560752,10.8159083385776,0.218046555962356,132
5,C-NMPC,86,34112,1,0,100,2609.1462962406,2743.1909,44.9385798891015,4.00339140632916,2.18958948933059,116.475924140145,11.2109552753231,0.221209530655933,133
5,C-NMPC,87,34113,1,0,100,2621.17329850746,2815.8307,51.0048794056963,2.94926178380782,1.17882984542243,118.128097417941,9.80086392816005,0.2159091046102,134
5,C-NMPC,88,34114,1,0,100,2618.87131278195,2857.4468,55.6696707919846,3.30634549279781,1.63789612283393,116.562426460282,10.0951345166043,0.215998975956842,133
5,C-NMPC,89,34115,1,0,100,2618.05642518519,2900.3945,51.6407221096007,3.23614155480443,1.23453721118066,119.070706509617,11.4587857100807,0.224924914660162,135
5,C-NMPC,90,34116,1,0,100,2611.00082442748,2757.0067,47.2359978708027,3.52756885229558,1.65982291498558,115.634619889672,11.1423684150235,0.218370436387094,131
5,C-NMPC,91,34117,1,0,100,2618.7339260274,2768.7539,47.7282322009478,3.75746257798861,1.81401452051262,126.843735531452,11.4020612466786,0.23858266435939,146
5,C-NMPC,92,34118,1,0,100,2613.86267535211,2804.4152,56.5214881162195,3.35749063897522,1.74748159967404,121.136895977486,13.0448830255472,0.241130170298207,142
5,C-NMPC,93,34119,1,0,100,2612.95561363636,2781.2583,47.4360804933338,3.17076681595386,1.42148045935869,117.441889279372,9.75322537096362,0.213171315423265,132
5,C-NMPC,94,34120,0,1,98.8505747126437,2601.88953333333,2830.7565,288.598321007855,3.60605127041704,1.77140112592054,77.4,9.73883090466652,0.155964252940371,87
5,C-NMPC,95,34121,1,0,100,2619.65667083333,2862.204,51.6583980445708,3.97201670805034,2.02124469084322,123.327949138043,13.2693204319613,0.244727303681261,144
5,C-NMPC,96,34122,1,0,100,2611.98047067669,2754.6843,48.2810593398848,3.04506239883953,1.340122249986,117.472683826733,10.9427233609436,0.219978654642589,133
5,C-NMPC,97,34123,1,0,100,2615.50769772727,2798.8069,50.1196158005529,3.58464638118941,1.85966457344866,114.829591151658,11.0944504180316,0.21937870135935,132
5,C-NMPC,98,34124,1,0,100,2606.27447480916,2765.584,45.2696713580947,4.22027741189904,2.40810287246984,112.798483770077,11.0076665043341,0.217678160785772,131
5,C-NMPC,99,34125,1,0,100,2616.95242867647,3313.0513,75.3963682422661,2.69106702668731,0.974797928638898,122.4,10.2739085265057,0.220713829830962,136
5,C-NMPC,100,34126,1,0,100,2622.08545407407,3822.7306,116.168597574172,2.94467509613943,1.0974698342294,119.354318977706,12.0364162466732,0.227629576951821,135
5,NP-ET-NMPC,1,35027,1,0,74.8148148148148,1956.55783037037,2763.8278,1140.27362054988,2.65755102672088,0.720937202878486,105.962863916437,11.0378485442663,0.222667251366041,135
5,NP-ET-NMPC,2,35028,1,0,75,1958.55943863636,2744.8282,1135.77319201809,2.20416871854464,0.627136559259929,102.007011577751,10.5970950308966,0.21677039498098,132
5,NP-ET-NMPC,3,35029,1,0,74.0458015267176,1936.84218244275,2788.3033,1151.9378737818,2.34545494749104,0.548699208648133,100.687598654912,9.05161752605464,0.208271486921187,131
5,NP-ET-NMPC,4,35030,1,0,74.6268656716418,1950.99866791045,2753.4853,1142.65002569169,3.70233610408918,1.72882829717595,102.222382878611,10.5183787492186,0.21890746352262,134
5,NP-ET-NMPC,5,35031,1,0,75.7352941176471,1978.07048970588,2752.8453,1124.5125208807,2.94930705220654,0.925693299786479,105.554940034348,10.7549824475026,0.222586797624573,136
5,NP-ET-NMPC,6,35032,0,0,97,2574.9007867,3099.1277,454.442629680529,3.41494208250932,1.60048400997105,92.0284070920457,9.31819748045215,1.29557436965755,1000
