ExperimentType,R_on,R_off,T_ref,RepeatIndex,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,Success,Collision,SwitchCount,Steps
T_ref,0.6,0.2,5,10,77.2727272727273,2067.22968787879,2956.5112,1126.40549837265,3.250162704002,1.54342174356256,1,0,1,132
T_ref,0.6,0.2,5,11,78.4090909090909,2098.93221988636,2844.3703,1105.51628608991,4.15665331525893,2.2896143215003,1,0,2,176
T_ref,0.6,0.2,5,12,78.9115646258503,2117.81073197279,2832.051,1099.54793632752,3.38995479496304,1.81040863852256,1,0,2,147
T_ref,0.6,0.2,5,13,77.1428571428572,2066.84554071429,2996.8922,1130.2469795225,3.51652804758945,1.69558435329891,1,0,2,140
T_ref,0.6,0.2,5,14,77.7777777777778,2086.61094888889,2865.6976,1120.45926270065,3.38536231784077,1.46163895397614,1,0,2,135
T_ref,0.6,0.2,5,15,79.136690647482,2118.39465035971,2788.7201,1092.37264448921,2.63708101230116,1.03004557009305,1,0,2,139
T_ref,0.6,0.2,5,16,80.9523809523809,2174.5696,3054.4695,1059.9093623355,3.82901134681472,2.01934626897315,1,0,2,147
T_ref,0.6,0.2,5,17,76.4705882352941,2054.75063088235,3028.8975,1145.39617656569,3.0387518124711,1.19094412375204,1,0,2,136
T_ref,0.6,0.2,5,18,81.021897810219,2165.6832189781,2847.7609,1052.74599313221,3.61253246776955,1.62553708602714,1,0,1,137
T_ref,0.6,0.2,5,19,77.3722627737226,2073.69711021898,3021.4828,1126.61949735004,3.51811152030274,1.83822054208931,1,0,2,137
T_ref,0.6,0.2,5,20,77.0992366412214,2061.63159618321,2839.9899,1128.93125151674,4.09701995327436,2.20315368882928,1,0,2,131
T_ref,0.6,0.2,5,21,74.8091603053435,2003.15955496183,2834.3132,1167.55215670743,3.15965097104337,1.2591203042182,1,0,2,131
T_ref,0.6,0.2,5,22,79.7202797202797,2140.9207972028,2928.2603,1084.67101496088,3.26678333402419,1.36934047462051,1,0,2,143
T_ref,0.6,0.2,5,23,79.5620437956204,2127.98810364964,2794.0099,1083.20511384271,3.64224185794138,1.68369844867242,1,0,2,137
T_ref,0.6,0.2,5,24,80.1526717557252,2131.55491221374,2843.5406,1066.02067241536,4.51148915678174,2.53211175668489,1,0,1,131
T_ref,0.6,0.2,5,25,78.6259541984733,2082.64565267176,2891.8179,1091.29520653457,3.3247121909618,1.49035494750137,1,0,2,131
T_ref,0.6,0.2,10,1,78.9855072463768,2096.84153043478,2804.6602,1086.42230853932,3.15028419419782,1.46251663472268,1,0,2,138
T_ref,0.6,0.2,10,2,76.9784172661871,2040.43994172662,2806.1097,1120.70314650958,3.96623512004036,2.05459321128611,1,0,2,139
