Algorithm,RepeatIndex,ScenarioSeed,NumDynamicObstacles,NumStaticBuildings,Success,Collision,MetricValid,FailureReason,TriggerRatePercent,AvgCPUms,MaxCPUms,StdCPUms,MinDistanceMeter,MinClearanceMeter,ControlEffort,TotalClimbMeter,PathLengthMeter,EstimatedEnergyJ,EstimatedEnergyWh,Steps
Proposed ET-NMPC,25,2051,5,15,1,0,1,Success,79.0849673202614,2176.65600392157,2936.949,1123.87896933956,2.86734879235084,1.18351073818968,120.841176393833,13.1008856878417,64.3460733692523,3271.08168549708,0.908633801526967,153
Proposed ET-NMPC,26,2052,5,15,1,0,1,Success,76.5151515151515,2110.1670280303,3124.5083,1174.30965943883,3.64030708406072,1.74824463555439,103.291827876926,9.68369774605163,58.9145688456542,2786.14881622978,0.773930226730494,132
Proposed ET-NMPC,27,2053,5,15,1,0,1,Success,80.3030303030303,2219.96280378788,3485.3957,1106.43687975959,2.76812724406022,1.04273434244722,108.396448636482,10.520147149309,59.6085194836,2813.94141913308,0.781650394203634,132
Proposed ET-NMPC,28,2054,5,15,1,0,1,Success,75.7575757575758,2082.83465151515,2954.2662,1183.41998847709,4.13749203791486,2.21945606254074,101.131404111443,11.0663615221038,59.4060796311972,2810.8935365054,0.780803760140388,132
Proposed ET-NMPC,29,2055,5,15,1,0,1,Success,78.1021897810219,2152.63273868613,3058.1384,1145.03563625699,4.09531278978124,2.39983838229211,110.490642037772,12.8659189838063,61.1550264650728,2957.44128099941,0.821511466944282,137
Proposed ET-NMPC,30,2056,5,15,1,0,1,Success,76.1194029850746,2095.36115298507,2920.3124,1178.63376740414,4.92634162595912,3.29780127699943,101.81527062887,11.2295854847725,59.5599763930054,2851.69247041263,0.792136797336843,134
C-NMPC,1,2027,5,15,1,0,1,Success,100,2748.80488613139,2927.2347,53.5043291150973,3.46961899726377,1.86366684460708,121.3112559771,12.7020145630358,61.8386415340351,2975.6370038043,0.826565834390084,137
C-NMPC,2,2028,5,15,0,1,0,Collision,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C-NMPC,3,2029,5,15,1,0,1,Success,100,2744.32764210526,2910.8224,48.1891967151497,3.70611803574041,1.73040770724676,117.246813464556,10.7225070857774,59.6247509069537,2853.89604373942,0.792748901038727,133
C-NMPC,4,2030,5,15,1,0,1,Success,100,2749.26122651515,3081.3964,66.7618777939947,4.39866379147998,2.71733415902576,114.861431403931,11.4011116576047,59.6724216345193,2845.39051715308,0.790386254764745,132
C-NMPC,5,2031,5,15,1,0,1,Success,100,2754.8307625,3152.1591,65.204840596449,3.53295535372799,1.69605448096357,133.894478649158,13.9709857332941,64.881556187869,3297.47903596321,0.915966398878668,152
C-NMPC,6,2032,5,15,1,0,1,Success,100,2745.11485588235,2926.2864,50.9243286366463,3.72110234951775,1.95527126645343,119.754336404684,12.5956503058671,61.3332357753814,2952.28723602485,0.82007978778468,136
C-NMPC,7,2033,5,15,1,0,1,Success,100,2750.22143088235,3073.5886,63.956665611081,4.16147769973154,2.4639406075937,118.370790420057,11.1786007666373,59.7444592761709,2919.7317383845,0.811036593995694,136
C-NMPC,8,2034,5,15,1,0,1,Success,100,2747.19924885496,3058.8998,60.4593553437557,3.36937575420346,1.77519920521609,115.66832756081,9.6535048405201,58.9817896096263,2792.26711759055,0.775629754886265,131
C-NMPC,9,2035,5,15,1,0,1,Success,100,2749.31266783217,2965.481,56.7756290272081,3.04800865731108,1.28211682883925,124.551799753977,13.8753192702619,63.7704313842277,3114.78263245353,0.865217397903758,143
C-NMPC,10,2036,5,15,1,0,1,Success,100,2750.89368613139,2925.5539,54.8138004846705,4.57745953955887,2.86228330082709,119.327346837897,11.4318483013302,59.9740104602523,2944.96847618162,0.818046798939338,137
C-NMPC,11,2037,5,15,1,0,1,Success,100,2744.50575539568,2975.3406,52.7051408661929,4.19632819299886,2.22552147811649,122.224130867405,13.0879577792175,62.3374165881698,3021.5758313365,0.839326619815695,139
C-NMPC,12,2038,5,15,1,0,1,Success,100,2748.22472189781,3179.3521,64.8309951323855,3.75295944789393,1.90747129788772,119.27806350656,12.6527579848223,61.6840837213372,2970.53517522263,0.825148659784065,137
C-NMPC,13,2039,5,15,1,0,1,Success,100,2748.69694586466,2992.5219,57.562310690867,3.50090127497849,1.49376376586811,117.215255823775,11.4504945642373,60.0302757853842,2869.1362652372,0.796982295899221,133
C-NMPC,14,2040,5,15,1,0,1,Success,100,2503.20196388889,3160.5745,108.022645652044,3.65405435062642,1.94928753911092,123.287717404011,12.8296574128975,63.0815514336036,3108.27316170915,0.863409211585874,144
C-NMPC,15,2041,5,15,1,0,1,Success,100,2467.87442647059,2608.6724,33.3511524527231,4.0183859102304,2.18437885601337,118.534386801892,11.2955735196769,59.8663030168716,2922.51786552099,0.811810518200276,136
C-NMPC,16,2042,5,15,1,0,1,Success,100,2470.60367481481,2637.2207,35.5197159561822,4.35839007042472,2.44858493452411,116.813910669763,11.3345537129003,59.8054227544002,2901.89633260428,0.8060823146123,135
C-NMPC,17,2043,5,15,1,0,1,Success,100,2475.49544710145,2711.1112,41.9827222806118,2.4965395241563,0.845935508396561,124.2,9.8541178976236,59.8621475900799,2939.54763551933,0.816541009866481,138
C-NMPC,18,2044,5,15,1,0,1,Success,100,2476.62792534247,2622.5866,41.6367728117194,3.28002090801216,1.3724552661027,130.555243979657,14.6354799751935,63.2898942516393,3196.76918486642,0.887991440240671,146
